"lemmatized_summary","Gene","Regulation","geneCardsFunction"
"CLCN1 ( Chloride Voltage - gate Channel 1 ) be a Protein code gene. disease associate with CLCN1 include Myotonia Congenita, Autosomal Recessive and Myotonia Congenita, Autosomal Dominant. Among its relate pathway be Activation of cAMP - Dependent PKA and Transport of glucose and other sugar, bile salt and organic acid, metal ion and amine compound. Gene Ontology ( GO ) annotation relate to this gene include ion channel activity and adenyl nucleotide bind. a important paralog of this gene be CLCN2. Voltage - gate chloride channel ( PubMed: 8112288, PubMed: 9122265, PubMed: 12456816 ). play a important role in membrane repolarization in skeletal muscle cell after muscle contraction.","CLC","increased","CLCN1 (Chloride Voltage-Gated Channel 1) is a Protein Coding gene. Diseases associated with CLCN1 include Myotonia Congenita, Autosomal Recessive and Myotonia Congenita, Autosomal Dominant. Among its related pathways are Activation of cAMP-Dependent PKA and Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds. Gene Ontology (GO) annotations related to this gene include ion channel activity and adenyl nucleotide binding. An important paralog of this gene is CLCN2. Voltage-gated chloride channel (PubMed:8112288, PubMed:9122265, PubMed:12456816). Plays an important role in membrane repolarization in skeletal muscle cells after muscle contraction. "
"CLEC4C ( C - Type Lectin Domain Family 4 Member C ) be a Protein code gene. disease associate with CLEC4C include localize Osteosarcoma and Brachydactyly, Type C. Among its relate pathway be CLEC7A ( Dectin - 1 ) signal and Innate Immune System. Gene Ontology ( GO ) annotation relate to this gene include carbohydrate bind. a important paralog of this gene be CLEC6A. Lectin - type cell surface receptor which may play a role in antigen capture by dendritic cell ( PubMed: 11748283, PubMed: 21880719, PubMed: 25995448 ). Specifically recognize non - sialylated galactose - terminate biantennary glycans contain the trisaccharide epitope Gal ( beta1 - 3 / 4 ) GlcNAc ( beta1 - 2 ) Man ( PubMed: 21880719, PubMed: 25995448 ). bind to serum IgG ( PubMed: 25995448 ). Efficiently target ligand into antigen - process and peptide - load compartment for presentation to T - cell ( PubMed: 11748283 ). May mediate potent inhibition of induction of IFN - alpha / beta expression in plasmacytoid dendritic cell ( PubMed: 11748283, PubMed: 21880719 ). May act as a signal receptor that activate protein - tyrosine kinase and mobilize intracellular calcium ( PubMed: 11748283 ).","CLEC4C","increased","CLEC4C (C-Type Lectin Domain Family 4 Member C) is a Protein Coding gene. Diseases associated with CLEC4C include Localized Osteosarcoma and Brachydactyly, Type C. Among its related pathways are CLEC7A (Dectin-1) signaling and Innate Immune System. Gene Ontology (GO) annotations related to this gene include carbohydrate binding. An important paralog of this gene is CLEC6A. Lectin-type cell surface receptor which may play a role in antigen capturing by dendritic cells (PubMed:11748283, PubMed:21880719, PubMed:25995448). Specifically recognizes non-sialylated galactose-terminated biantennary glycans containing the trisaccharide epitope Gal(beta1-3/4)GlcNAc(beta1-2)Man (PubMed:21880719, PubMed:25995448). Binds to serum IgG (PubMed:25995448). Efficiently targets ligand into antigen-processing and peptide-loading compartments for presentation to T-cells (PubMed:11748283). May mediate potent inhibition of induction of IFN-alpha/beta expression in plasmacytoid dendritic cells (PubMed:11748283, PubMed:21880719). May act as a signaling receptor that activates protein-tyrosine kinases and mobilizes intracellular calcium (PubMed:11748283). "
"COL6A5 ( Collagen Type VI Alpha 5 Chain ) be a Protein code gene. disease associate with COL6A5 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1. Among its relate pathway be NCAM1 interaction and Developmental Biology. a important paralog of this gene be COL6A6. Collagen VI act as a cell - bind protein.","COL6A5","increased","COL6A5 (Collagen Type VI Alpha 5 Chain) is a Protein Coding gene. Diseases associated with COL6A5 include Ullrich Congenital Muscular Dystrophy 1 and Bethlem Myopathy 1. Among its related pathways are NCAM1 interactions and Developmental Biology. An important paralog of this gene is COL6A6. Collagen VI acts as a cell-binding protein. "
"CSNK2B ( Casein Kinase 2 Beta ) be a Protein code gene. disease associate with CSNK2B include Autosomal Dominant Non - Syndromic Intellectual Disability and Egg Allergy. Among its relate pathway be Wnt signal pathway: beta - Catenin - dependent Wnt signal and Regulation of TP53 Activity. Gene Ontology ( GO ) annotation relate to this gene include identical protein bind and signal receptor bind. participate in Wnt signal ( By similarity ). play a complex role in regulate the basal catalytic activity of the alpha subunit.","CSNK2B","increased","CSNK2B (Casein Kinase 2 Beta) is a Protein Coding gene. Diseases associated with CSNK2B include Autosomal Dominant Non-Syndromic Intellectual Disability and Egg Allergy. Among its related pathways are Wnt Signaling Pathways: beta-Catenin-dependent Wnt Signaling and Regulation of TP53 Activity. Gene Ontology (GO) annotations related to this gene include identical protein binding and signaling receptor binding.  Participates in Wnt signaling (By similarity). Plays a complex role in regulating the basal catalytic activity of the alpha subunit. "
"CTLA4 ( Cytotoxic T - Lymphocyte associate Protein 4 ) be a Protein code gene. disease associate with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3. Among its relate pathway be ICos - ICosL Pathway in T - Helper Cell and T cell receptor signal pathway. a important paralog of this gene be CD28. Inhibitory receptor act as a major negative regulator of T - cell response. The affinity of CTLA4 for its natural B7 family ligand, CD80 and CD86, be considerably strong than the affinity of their cognate stimulatory coreceptor CD28.","CTLA4","increased","CTLA4 (Cytotoxic T-Lymphocyte Associated Protein 4) is a Protein Coding gene. Diseases associated with CTLA4 include Autoimmune Lymphoproliferative Syndrome, Type V and Celiac Disease 3. Among its related pathways are ICos-ICosL Pathway in T-Helper Cell and T cell receptor signaling pathway. An important paralog of this gene is CD28. Inhibitory receptor acting as a major negative regulator of T-cell responses. The affinity of CTLA4 for its natural B7 family ligands, CD80 and CD86, is considerably stronger than the affinity of their cognate stimulatory coreceptor CD28. "
"CXCL13 ( C - X - C Motif Chemokine Ligand 13 ) be a Protein code gene. disease associate with CXCL13 include Angioimmunoblastic T - Cell Lymphoma and Burkitt Lymphoma. Among its relate pathway be CCR5 Pathway in macrophage and CXCR3 - mediate signal event. Gene Ontology ( GO ) annotation relate to this gene include protein heterodimerization activity and chemokine activity. a important paralog of this gene be CXCL6. Chemotactic for B - lymphocyte but not for T - lymphocyte, monocyte and neutrophil. do not induce calcium release in B - lymphocyte. bind to BLR1 / CXCR5.","CXCL13","increased","CXCL13 (C-X-C Motif Chemokine Ligand 13) is a Protein Coding gene. Diseases associated with CXCL13 include Angioimmunoblastic T-Cell Lymphoma and Burkitt Lymphoma. Among its related pathways are CCR5 Pathway in Macrophages and CXCR3-mediated signaling events. Gene Ontology (GO) annotations related to this gene include protein heterodimerization activity and chemokine activity. An important paralog of this gene is CXCL6. Chemotactic for B-lymphocytes but not for T-lymphocytes, monocytes and neutrophils. Does not induce calcium release in B-lymphocytes. Binds to BLR1/CXCR5. "
"CXCL6 ( C - X - C Motif Chemokine Ligand 6 ) be a Protein code gene. disease associate with CXCL6 include Mastitis and Rheumatoid Arthritis. Among its relate pathway be CCR5 Pathway in macrophage and ERK signal. Gene Ontology ( GO ) annotation relate to this gene include heparin bind and CXCR chemokine receptor bind. a important paralog of this gene be CXCL5. Chemotactic for neutrophil granulocyte. signal through bind and activation of its receptor ( CXCR1 and CXCR2 ). In addition to its chemotactic and angiogenic property, it have strong antibacterial activity against Gram - positive and Gram - negative bacterium ( 90 - fold - high when compare to CXCL5 and CXCL7 ).","CXCL6","increased","CXCL6 (C-X-C Motif Chemokine Ligand 6) is a Protein Coding gene. Diseases associated with CXCL6 include Mastitis and Rheumatoid Arthritis. Among its related pathways are CCR5 Pathway in Macrophages and ERK Signaling. Gene Ontology (GO) annotations related to this gene include heparin binding and CXCR chemokine receptor binding. An important paralog of this gene is CXCL5. Chemotactic for neutrophil granulocytes. Signals through binding and activation of its receptors (CXCR1 and CXCR2). In addition to its chemotactic and angiogenic properties, it has strong antibacterial activity against Gram-positive and Gram-negative bacteria (90-fold-higher when compared to CXCL5 and CXCL7). "
"DCANP1 ( Dendritic Cell associate Nuclear Protein ) be a Protein code gene. disease associate with DCANP1 include Depression. bind with and transactivates the corticotropin - release hormone ( CRH ) promoter.","DCANP1","increased","DCANP1 (Dendritic Cell Associated Nuclear Protein) is a Protein Coding gene. Diseases associated with DCANP1 include Depression.  Binds with and transactivates the corticotropin-releasing hormone (CRH) promoter.
"
"DUSP13 ( Dual Specificity Phosphatase 13 ) be a Protein code gene. disease associate with DUSP13 include Ruvalcaba Syndrome and Cowden Syndrome. Gene Ontology ( GO ) annotation relate to this gene include phosphatase activity and protein tyrosine / serine / threonine phosphatase activity. a important paralog of this gene be DUSP26. Probable protein tyrosine phosphatase. have phosphatase activity with synthetic substrate ( PubMed: 15252030, PubMed: 29106959 ). have a phosphatase activity - independent regulatory role in MAP3K5 / ASK1 - mediate apoptosis, prevent MAP3K5 / ASK1 inhibition by AKT1. show no phosphatase activity on MAPK1 / ERK2, MAPK8 / JNK, MAPK14 / p38 and MAP3K5 / ASK1. Dual specificity phosphatase that dephosphorylates MAPK8 / JNK and MAPK14 / p38, but not MAPK1 / ERK2, in vitro. exhibit intrinsic phosphatase activity towards both phospho - seryl / threonyl and - tyrosyl residue, with similar specific activity in vitro.","DUSP13","increased","DUSP13 (Dual Specificity Phosphatase 13) is a Protein Coding gene. Diseases associated with DUSP13 include Ruvalcaba Syndrome and Cowden Syndrome. Gene Ontology (GO) annotations related to this gene include phosphatase activity and protein tyrosine/serine/threonine phosphatase activity. An important paralog of this gene is DUSP26. Probable protein tyrosine phosphatase. Has phosphatase activity with synthetic substrates (PubMed:15252030, PubMed:29106959). Has a phosphatase activity-independent regulatory role in MAP3K5/ASK1-mediated apoptosis, preventing MAP3K5/ASK1 inhibition by AKT1. Shows no phosphatase activity on MAPK1/ERK2, MAPK8/JNK, MAPK14/p38 and MAP3K5/ASK1. Dual specificity phosphatase that dephosphorylates MAPK8/JNK and MAPK14/p38, but not MAPK1/ERK2, in vitro. Exhibits intrinsic phosphatase activity towards both phospho-seryl/threonyl and -tyrosyl residues, with similar specific activities in vitro.
"
"FAM30A ( Family With Sequence Similarity 30 Member A ) be a RNA Gene, and be affiliate with the lncRNA class. disease associate with FAM30A include Gallbladder Cancer.","FAM30A","increased","FAM30A (Family With Sequence Similarity 30 Member A) is an RNA Gene, and is affiliated with the lncRNA class. Diseases associated with FAM30A include Gallbladder Cancer.  "
"GPR15 ( G Protein - couple Receptor 15 ) be a Protein code gene. disease associate with GPR15 include Human Immunodeficiency Virus Type 1 and Immune Deficiency Disease. Among its relate pathway be Peptide ligand - bind receptor and signal by GPCR. Gene Ontology ( GO ) annotation relate to this gene include G protein - couple receptor activity and transmembrane signal receptor activity. a important paralog of this gene be GPR25.","GPR15","increased","GPR15 (G Protein-Coupled Receptor 15) is a Protein Coding gene. Diseases associated with GPR15 include Human Immunodeficiency Virus Type 1 and Immune Deficiency Disease. Among its related pathways are Peptide ligand-binding receptors and Signaling by GPCR. Gene Ontology (GO) annotations related to this gene include G protein-coupled receptor activity and transmembrane signaling receptor activity. An important paralog of this gene is GPR25."
"GREM1 ( Gremlin 1, DAN Family BMP Antagonist ) be a Protein code gene. disease associate with GREM1 include Polyposis Syndrome, Hereditary mix, 1 and Hereditary mix Polyposis Syndrome. Among its relate pathway be signal by BMP and Loss of Function of SMAD2 / 3 in Cancer. Gene Ontology ( GO ) annotation relate to this gene include cytokine activity and BMP bind. a important paralog of this gene be GREM2. Cytokine that may play a important role during carcinogenesis and metanephric kidney organogenesis, as a BMP antagonist require for early limb outgrowth and pattern in maintain the FGF4 - SHH feedback loop. Down - regulate the BMP4 signal in a dose - dependent manner ( By similarity ). Antagonist of BMP2; inhibit BMP2 - mediate differentiation of osteoblast ( in vitro ) ( PubMed: 27036124 ). act as inhibitor of monocyte chemotaxis. Can inhibit the growth or viability of normal cell but not transform cell when be overexpress ( By similarity ).","GREM1","increased","GREM1 (Gremlin 1, DAN Family BMP Antagonist) is a Protein Coding gene. Diseases associated with GREM1 include Polyposis Syndrome, Hereditary Mixed, 1 and Hereditary Mixed Polyposis Syndrome. Among its related pathways are Signaling by BMP and Loss of Function of SMAD2/3 in Cancer. Gene Ontology (GO) annotations related to this gene include cytokine activity and BMP binding. An important paralog of this gene is GREM2. Cytokine that may play an important role during carcinogenesis and metanephric kidney organogenesis, as a BMP antagonist required for early limb outgrowth and patterning in maintaining the FGF4-SHH feedback loop. Down-regulates the BMP4 signaling in a dose-dependent manner (By similarity). Antagonist of BMP2; inhibits BMP2-mediated differentiation of osteoblasts (in vitro) (PubMed:27036124). Acts as inhibitor of monocyte chemotaxis. Can inhibit the growth or viability of normal cells but not transformed cells when is overexpressed (By similarity)."
"GSTM1 ( Glutathione S - Transferase Mu 1 ) be a Protein code gene. disease associate with GSTM1 include Senile Cataract and Asbestosis. Among its relate pathway be Acetaminophen Pathway ( therapeutic dose ), Pharmacokinetics and Glutathione metabolism. Gene Ontology ( GO ) annotation relate to this gene include protein homodimerization activity and glutathione transferase activity. a important paralog of this gene be GSTM5. Conjugation of reduce glutathione to a wide numb of exogenous and endogenous hydrophobic electrophile.","GSTM1","increased","GSTM1 (Glutathione S-Transferase Mu 1) is a Protein Coding gene. Diseases associated with GSTM1 include Senile Cataract and Asbestosis. Among its related pathways are Acetaminophen Pathway (therapeutic doses), Pharmacokinetics and Glutathione metabolism. Gene Ontology (GO) annotations related to this gene include protein homodimerization activity and glutathione transferase activity. An important paralog of this gene is GSTM5. Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles."
